age_before_2024,Phytol_ug_gTOC,Brassicasterol_ug_gTOC,Campasterol_plusX_co_eluting_ug_gTOC,Stigmasterol_ug_gTOC,Sitostanol_ug_gTOC,Dinostanol_plus_co_eluter_ug_gTOC,age_group,comment
6988.589826,50.83538402,11.38129776,14.58684108,6.977723092,14.19829038,2.020463671,HTM2,
7010.603052,52.8660665,7.073305163,14.76667279,8.313430094,15.04225611,1.938269337,HTM2,
7103.95075,53.73274954,11.51877921,15.296791,6.886327107,10.33641855,2.228934582,HTM2,
7214.875294,54.7201082,12.82086814,16.11892976,5.980854614,9.328802887,1.030436397,HTM2,
7249.011746,56.19501466,9.512463344,15.01099707,7.936217009,11.34530792,0,HTM2,
7410.444838,52.65093472,7.508427826,19.42997242,7.937480845,12.47318419,0,HTM2,
7547.12724,56.39059719,8.567324809,18.6215407,5.805955656,8.961806117,1.65277553,HTM2,
7562.574714,53.73306893,11.94230811,15.03033141,5.546733794,12.19842379,1.549133963,HTM2,
7828.296403,48.90018713,10.14634749,17.37986795,6.567100942,14.82452424,2.181972249,Holocene,
7884.472221,54.03664147,6.778399864,18.66555356,6.506174968,12.69475423,1.318475904,Holocene,
7998.68915,53.26975477,7.438692098,17.54768392,8.092643051,13.65122616,0,Holocene,
8093.649601,44.73529355,18.37781212,17.24617344,6.576437344,11.54918102,1.515102526,Holocene,
8176.702282,46.13588696,17.22799838,15.9516128,5.560936187,11.26939433,3.854171343,Holocene,
8274.89188,53.66978531,13.63450091,10.82841922,6.140040146,12.19673133,3.530523085,Holocene,
8562.309903,50.75602974,12.72182641,14.11812443,7.912355447,11.43293593,3.058728055,Holocene,
8606.09519,54.47510231,9.359426279,16.8550707,8.022365382,9.440460273,1.847575057,Holocene,
8642.997954,48.66776704,6.460740391,20.1367602,7.734024993,14.38340014,2.617307239,Holocene,
8751.971387,46.65834123,12.14365688,17.38653001,5.081388338,15.78244768,2.947635863,Holocene,
9030.93219,35.78820009,3.359123762,12.72805426,6.646607444,36.50460088,4.973413571,HTM1,
9097.302667,45.74603174,18.92063493,15.13227513,4.592592593,11.93650794,3.671957672,HTM1,
9188.46956,49.20367989,7.221287961,17.72677812,6.964091403,14.10624196,4.777920665,HTM1,
9239.784265,38.82249262,9.52395677,15.92479785,9.802254209,21.25883208,4.667666476,HTM1,
9355.709377,47.7128662,7.580949117,17.81737194,8.330477984,13.08463251,5.473702244,HTM1,
9410.179104,50.03757272,10.59008545,14.71146472,6.034876785,13.14658011,5.479420217,HTM1,
9475.071203,49.80036482,6.033701989,13.39405304,7.105226232,18.36898703,5.297666883,HTM1,
9794.127918,36.94170138,13.63473269,13.55673078,5.428932465,27.19146348,3.246439213,HTM1,
10436.2459,18.73226112,10.64333018,20.57710502,12.72469252,35.33585619,1.986754967,Holocene,
10793.71486,47.2967159,9.60848989,10.98522874,6.396099241,20.16348774,5.549978488,Holocene,
10955.99338,25.60416029,9.330070356,13.33741205,4.649739983,40.96971551,6.108901806,Holocene,
11017.70193,30.41464728,17.13516425,12.23478729,6.042003232,30.84544965,3.327948304,Holocene,
11084.92086,27.78962521,30.3886549,10.56938743,4.145119155,26.01695367,1.090259637,Holocene,
11198.28358,43.53702241,11.37399016,13.98590779,5.618660027,22.59612465,2.888294964,Holocene,
11310.14507,31.02564103,9.358974359,15.12820513,9.615384615,31.79487179,3.076923077,Holocene,
11822.00497,51.90972222,12.32638889,22.56944445,13.19444444,0,0,YD,
11923.7688,45.76971019,6.388282954,15.23060143,9.855095045,19.24275475,3.513555626,YD,
12227.5278,65.78586031,3.826320446,9.660391175,4.277911695,11.1799347,5.269581668,YD,
12331.7559,68.39153424,6.075464173,8.930786406,2.889372072,11.24617547,2.466667639,YD,
12397.55939,55.75668439,4.129426406,8.541690236,12.80310744,15.80118415,2.96790738,YD_Chara,
12527.60637,46.37127433,7.080672141,19.74984793,4.780641727,19.78786497,2.229698906,YD_Chara,
12869.57638,56.83503684,6.105539548,18.55035487,4.148271772,11.78948012,2.571316852,YD_Chara,
