sample,XRF_depth_cm,age_BP_1950,Tetrahymanol_ug_gTOC,Tetrahymanol_ug_gsed
5_C_78_80 EGDE + 80-82 EXTRA,#NV,#NV,#NV,#NV
5_C_90-93_EDGE+EXTRA,#NV,#NV,#NV,#NV
6_B_48-50_EDGE,#NV,#NV,#NV,#NV
6_B_58-60_EDGE,#NV,#NV,#NV,#NV
6_B_68-70_EDGE,256.1181818,3479.286158,10.84857154,2.033998678
6_B_78-80_EDGE,266.1181818,3532.042874,17.7980159,3.395683454
6_B_88-90_EDGE,278.8454545,3639.150413,15.34963488,3.097556319
6_B_98-100_EDGE,291.5727273,3775.041999,11.79929839,2.557969898
6_C_18-20_EDGE,307.233775,4077.487317,14.25286299,3.603408821
6_C_28-30_EDGE,313.8562914,4087.188606,32.46530458,8.072822637
6_C_8-10_EDGE,#NV,#NV,#NV,#NV
7_B_48-50_EDGE,#NV,#NV,#NV,#NV
7_B_58-60_EDGE,511.2029851,7131.72474,#NV,#NV
7_B_68-70_EDGE,523.8895522,7175.011746,30.45186331,4.338476966
7_B_78-80_EDGE,536.5761194,7336.444838,47.01976388,5.174525015
7_B_88-90_EDGE,549.2626866,7473.12724,41.30973015,5.542113397
7_B_98-100_EDGE,558.6114286,7488.574714,44.56784842,6.424901028
7_C_18-20_EDGE,576.0657143,7754.296403,42.26005927,6.430713219
7_C_28-30_EDGE,584.58,7810.472221,38.49078135,5.342520451
7_C_8-10_EDGE,#NV,#NV,#NV,#NV
8_A_58-60_EDGE,#NV,#NV,#NV,#NV
8_A_68-70_EDGE,653.3188679,8488.309903,57.10992222,4.846919099
8_A_78-80_EDGE,664.9789474,8568.997954,50.34116523,4.352497146
8_A_88-90_EDGE,679.8210526,8677.971387,67.8972813,5.198894829
8_A_98-100_EDGE,694.6631579,8871.228331,#NV,#NV
8_B_18-20_EDGE,723.6052632,9165.784265,89.97733582,6.289415774
8_B_28-30_EDGE,738.55,9281.709377,52.31929304,3.102534077
8_B_38-40_EDGE,747.9857143,9336.179104,48.71290442,3.106421915
8_B_48-50_EDGE,756.7117647,9401.071203,65.69085193,4.576681654
8_B_8-10_EDGE,#NV,#NV,#NV,#NV
8_C_68-70_EDGE,#NV,#NV,#NV,#NV
8_C_78-80_EDGE,#NV,#NV,#NV,#NV
9_A_68-70_EDGE,#NV,#NV,#NV,#NV
9_A_78-80_EDGE,986.8263158,12323.55939,6.206525347,0.568890113
9_A_88-90_EDGE,1001.149462,12453.60637,6.973329733,1.934541135
9_A_98-100_EDGE,1009.966667,12795.57638,16.05426814,3.663102362
9_B_18-20_EDGE,#NV,#NV,#NV,#NV
9_B_28-30_EDGE,#NV,#NV,#NV,#NV
9_B_38-40_EDGE,#NV,#NV,#NV,#NV
9_B_48-50_EDGE,#NV,#NV,#NV,#NV
9_B_8-10_EDGE,#NV,#NV,#NV,#NV
Blank1,#NV,#NV,#NV,#NV
Blank2,#NV,#NV,#NV,#NV
Blank3,#NV,#NV,#NV,#NV
Blank4,#NV,#NV,#NV,#NV
