sample,Phytol_%,Cholesterol_%,Cholestanol_%,Brassicasterol_%,Campesterol_plus_x_%,Campestanol_plus_x_%,Stigmasterol_%,Fungisterol_%,Sitosterol_plus_x_%,Chondrillasterol_%,Sitostanol_%,b_Amyrin_%,unknown_d5_unsaturated_C30_sterol_M498_%,a_Amyrin_plus_22_dihydrochondrillasterol_plus_Lupeol_%,Triterpenoid_mz_189_371_plus_x_%,Dinostanol_plus_x_%,maybe_Lanosterol_plus_x_%,Friedelin_plus_x_%,Tetrahymanol_%,Diplopterol_%
1_A_18-20_EDGE,0.362146747,0.043110437,0.026228695,0.052075882,0.052171259,0.012685151,0.037769321,0.030234532,0.086888514,0.028517745,0.043396568,0.02804086,0.033000467,0.050645226,0.010205347,0.022766507,0.000953771,0,0.029090007,0.050072963
7_B_68-70_EDGE,0.147894458,0.043075587,0.017992379,0.025034972,0.039506054,0.015580532,0.020886595,0.011335681,0.146929719,0.043316772,0.029858666,0.062370363,0.041917901,0.047223964,0.032511697,0,0.010467416,0.21012011,0.01591819,0.038058946
8_A_68-70_EDGE,0.147743892,0.042242317,0.020982203,0.037031505,0.041095938,0.019036833,0.023031789,0.013826021,0.141039314,0.040157992,0.03327972,0.09316932,0.027756259,0.053740842,0.041721235,0.008903541,0.035954603,0.103834116,0.030709053,0.044743506
9_A_78-80_EDGE,0.298102708,0.063007843,0.059176966,0.022077948,0.045668085,0.016634071,0.068451721,0.005847128,0.114926306,0,0.084480916,0.036594955,0.018952759,0.064419219,0.006250378,0.015867895,0.04586971,0,0.006351191,0.027320201
1_A_48-50_EDGE,0.330249698,0.036849797,0.046359422,0.04426171,0.071252264,0.022095893,0.022235741,0.004475118,0.128449861,0,0.078314559,0.049785684,0.031955137,0.048317286,0.017970394,0.013096711,0.009859244,0.006363058,0.01601253,0.022095893
1_C_18-20_EDGE,0.243233743,0.044463972,0.030228471,0.022319859,0.030579965,0.010544815,0.022319859,0.010105448,0.204217926,0.02741652,0.072319859,0.031195079,0.025922671,0.079964851,0.101933216,0,0.003866432,0.019683656,0.004745167,0.014938489
2_C_8-10_EDGE,0.140636837,0.039221915,0.018205811,0.018816744,0.039283009,0.017106131,0.022115784,0.008736346,0.166662594,0.032623836,0.040016129,0.0549229,0.038916449,0.061765353,0.063292686,0.005156277,0.013073972,0.164585421,0.015273332,0.039588475
4_B_68-70_EDGE,0.057591623,0.025940029,0.029985721,0.01737268,0.028081866,0.006901475,0.017848644,0.003569729,0.157306045,0.124940505,0.059019515,0.118039029,0.003569729,0.10447406,0.029985721,0.005711566,0.02736792,0.150166587,0.013089005,0.019038553
5_C_58_60 EGDE + 60-62 EXTRA,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV
