age_BP_1950,.derivative,.se,.crit,.lower_ci,.upper_ci,d2H.C16.phytol.fitted,signif
3652.727329,0.002776377,0.006021234,1.959963985,-0.009025026,0.014577779,265.7483056,#NV
3717.11359,0.002695853,0.005987261,1.959963985,-0.009038964,0.01443067,265.9245057,#NV
3781.499851,0.002620019,0.005900845,1.959963985,-0.008945424,0.014185462,266.0957432,#NV
3845.886112,0.0025414,0.0058063,1.959963985,-0.008838738,0.013921539,266.2618833,#NV
3910.272373,0.002465339,0.005729055,1.959963985,-0.008763402,0.013694081,266.4231311,#NV
3974.658634,0.00239774,0.005669801,1.959963985,-0.008714866,0.013510346,266.5797545,#NV
4039.044895,0.002332757,0.005638146,1.959963985,-0.008717807,0.01338332,266.7320213,#NV
4103.431156,0.002271247,0.00565088,1.959963985,-0.008804274,0.013346767,266.8802023,#NV
4167.817417,0.002218078,0.005687289,1.959963985,-0.008928804,0.013364959,267.0246848,#NV
4232.203678,0.002173101,0.00571656,1.959963985,-0.00903115,0.013377352,267.1660055,#NV
4296.589938,0.002133059,0.005715994,1.959963985,-0.009070083,0.013336201,267.3047113,#NV
4360.976199,0.002109136,0.005681553,1.959963985,-0.009026502,0.013244775,267.441349,#NV
4425.36246,0.002088123,0.005618676,1.959963985,-0.008924279,0.013100526,267.5764654,#NV
4489.748721,0.002075643,0.005544421,1.959963985,-0.008791223,0.012942508,267.7105858,#NV
4554.134982,0.00206784,0.005470612,1.959963985,-0.008654362,0.012790042,267.8439548,#NV
4618.521243,0.002055571,0.00540786,1.959963985,-0.00854364,0.012654783,267.9766207,#NV
4682.907504,0.002040886,0.005369894,1.959963985,-0.008483913,0.012565685,268.1085602,#NV
4747.293765,0.002019798,0.005352822,1.959963985,-0.008471541,0.012511137,268.2393683,#NV
4811.680026,0.001991343,0.005351316,1.959963985,-0.008497043,0.01247973,268.3685046,#NV
4876.066287,0.001951274,0.005363561,1.959963985,-0.008561111,0.01246366,268.4954068,#NV
4940.452548,0.00189609,0.005385131,1.959963985,-0.008658572,0.012450753,268.6193219,#NV
5004.838809,0.00183074,0.005393488,1.959963985,-0.008740302,0.012401781,268.7393978,#NV
5069.225069,0.001751646,0.005373222,1.959963985,-0.008779676,0.012282968,268.8547821,#NV
5133.61133,0.001658174,0.005323141,1.959963985,-0.008774992,0.01209134,268.9646219,#NV
5197.997591,0.001552125,0.005245787,1.959963985,-0.008729429,0.011833679,269.0680646,#NV
5262.383852,0.001433377,0.005155584,1.959963985,-0.008671381,0.011538136,269.1642577,#NV
5326.770113,0.001300911,0.005076643,1.959963985,-0.008649127,0.011250949,269.2523483,#NV
5391.156374,0.001154907,0.005044519,1.959963985,-0.008732168,0.011041981,269.3314839,#NV
5455.542635,0.000998286,0.005095867,1.959963985,-0.008989431,0.010986002,269.4008317,#NV
5519.928896,0.000837434,0.005199934,1.959963985,-0.009354249,0.011029117,269.4599206,#NV
5584.315157,0.00067532,0.005304484,1.959963985,-0.009721278,0.011071918,269.5085943,#NV
