XRF_TrueSurface,age_BP_1950,RABD_660670,RABD_660670norm,RABD_671,RABD_715,RABD_845,RABD_620,RMean,TChl_ug_gsed,TChl_ug_gTOC
34.8,-2.813338,1.121709101,7.443374045,1.047070337,0.992815876,0.997069753,1.017060562,0.140241596,43.06438993,955.4153155
35.3,-2.050993,1.124288764,7.324780112,1.049172697,0.992440809,0.99760609,1.018463146,0.142619112,43.95795417,983.8836602
35.8,-1.288648,1.124421011,7.471149326,1.048783034,0.993291494,0.997640213,1.017013708,0.140210697,44.003763,993.716702
36.3,-0.526303,1.128129888,7.516565843,1.049690449,0.992402921,0.997968393,1.017019438,0.139671607,45.28847322,1031.95719
36.8,0.236042,1.120138989,7.113427079,1.046495618,0.992323135,0.997999831,1.015368427,0.146390876,42.52052187,977.7080218
37.3,0.998387,1.119854045,7.030916854,1.044133596,0.99258791,0.998198663,1.013461011,0.147614382,42.42182076,984.4020226
37.8,1.760732,1.113113778,6.860017222,1.040627,0.992986867,0.997897611,1.012526444,0.150527078,40.08707321,938.8513094
38.3,2.523077,1.119155169,6.793430449,1.043867978,0.992694303,0.997466562,1.012492584,0.152724225,42.17973837,997.1097908
38.8,3.285422,1.123907416,6.720620112,1.046909326,0.991328292,0.997098,1.013105056,0.154936787,43.82585969,1045.81348
39.3,4.047767,1.126824831,6.636754045,1.047488315,0.990939764,0.997249966,1.012266742,0.157901247,44.83641744,1080.135327
39.8,4.810112,1.122667416,6.755390674,1.044426067,0.992575124,0.997209921,1.013054157,0.154084584,43.39633859,1045.12827
40.3,5.3339939,1.123980899,6.773352472,1.044614944,0.992031416,0.997493371,1.011384607,0.154243427,43.85131337,1055.767747
40.8,5.6989004,1.119758989,6.635836966,1.04357191,0.991190584,0.997586528,1.010362135,0.156944494,42.38889444,1020.251386
41.3,6.0638069,1.113300787,6.586946854,1.041177303,0.992108427,0.997443899,1.011197079,0.157313753,40.15185079,966.1176802
41.8,6.4287134,1.104287111,6.575954778,1.034573889,0.993858967,0.9980609,1.010196744,0.155113889,37.02962194,890.7239627
42.3,6.7936199,1.10877382,6.218077978,1.038600674,0.992314236,0.997453247,1.010970787,0.165516955,38.58376406,927.828882
42.8,7.1585264,1.118476854,6.476772022,1.042065506,0.991308652,0.997178955,1.010884382,0.160140348,41.94477834,1008.348539
43.3,7.5234329,1.114944382,6.416708876,1.040403933,0.992103899,0.997162191,1.011165169,0.160690067,40.72117252,978.6390896
43.8,7.8883394,1.110949663,6.45647427,1.037873483,0.992879843,0.99749309,1.011151348,0.159587382,39.33744983,945.1006026
44.3,8.2532459,1.105336629,6.22931236,1.036322022,0.992978596,0.997304427,1.010559326,0.164767652,37.3931624,898.1184676
44.8,8.6181524,1.109551348,6.235798652,1.038165281,0.993213809,0.997098382,1.01104427,0.164422135,38.85309045,932.9033063
45.3,8.9830589,1.111170449,6.057707191,1.040047753,0.991858213,0.997500416,1.009795843,0.170416551,39.41392762,946.0856366
45.8,9.3479654,1.112995444,6.118010333,1.039564556,0.991944756,0.996947578,1.010216,0.168157411,40.04608396,960.971479
46.3,9.7128719,1.110862247,6.190524944,1.039836742,0.992138067,0.997461281,1.010413371,0.166246989,39.30717007,942.9571805
46.8,10.0777784,1.112745056,5.873361461,1.040179213,0.992102843,0.997148697,1.011047753,0.175547337,39.95935248,958.3153062
47.3,10.4426849,1.115008876,6.012027191,1.040108989,0.992745517,0.997070427,1.011467303,0.171793292,40.7435126,976.8284009
47.8,10.8075914,1.111187416,6.060780225,1.038655618,0.99288164,0.99712764,1.011884382,0.169499517,39.41980454,944.8092645
48.3,11.1724979,1.111218202,5.717748539,1.040212135,0.992047573,0.997431685,1.010210449,0.179974281,39.43046862,944.7818047
48.8,11.5374044,1.121576292,5.911983483,1.042924494,0.991183225,0.997041067,1.009971348,0.175375528,43.01838649,1030.442218
49.3,11.9023109,1.11472427,5.774733708,1.040762697,0.992221584,0.996874427,1.010270674,0.178684191,40.64492824,973.29809
49.8,12.2672174,1.119878778,5.636590889,1.043017778,0.991796133,0.997126078,1.009058889,0.183390967,42.43038792,1015.749307
50.3,12.876398,1.123582247,5.751922809,1.043624157,0.991694742,0.997141764,1.009385955,0.180191629,43.71322522,1046.14635
50.8,13.648428,1.122791236,5.761446966,1.043090449,0.992229281,0.996802056,1.009097303,0.17955509,43.43922843,1039.278149
51.3,14.420458,1.115589326,5.762543371,1.039868539,0.993134607,0.996866674,1.009032921,0.178525461,40.94457331,979.3009641
51.8,15.192488,1.112476854,5.872038202,1.039761236,0.993038933,0.996956169,1.007855618,0.175079157,39.86645044,953.2297314
52.3,15.964518,1.128952247,5.943317416,1.044714382,0.991431528,0.997005393,1.006752562,0.174951438,45.57332869,1089.358879
52.8,16.736548,1.123967753,5.782498876,1.04249764,0.992264056,0.996769775,1.007466854,0.179056562,43.84675973,1047.77489
53.3,17.508578,1.116776667,5.834359444,1.039913556,0.993130811,0.996739167,1.006800778,0.176479522,41.3558539,987.956376
53.8,18.280608,1.128162472,6.04385618,1.043686067,0.992057101,0.996935067,1.006373258,0.172095685,45.29976002,1081.849902
54.3,19.052638,1.127076404,6.174732247,1.04274809,0.992052843,0.996744416,1.005518494,0.168010989,44.92355932,1072.545286
54.8,19.824668,1.123125506,6.103564607,1.041746966,0.991796472,0.997301,1.00610873,0.169385674,43.55501543,1039.561201
55.3,20.596698,1.111442022,5.933607978,1.036929888,0.993476067,0.996642753,1.004909787,0.172708258,39.50799726,942.6866442
55.8,21.368728,1.121673596,5.910181461,1.039939775,0.992617303,0.996758955,1.00599191,0.174805416,43.05209121,1026.944748
56.3,22.140758,1.123139551,6.065011798,1.041471798,0.991735551,0.996714978,1.006068854,0.170377303,43.55988042,1038.747596
56.8,22.912788,1.116903034,5.920524831,1.04014,0.992959079,0.996605438,1.005553629,0.173960551,41.39962593,986.9390531
57.3,23.684818,1.11387,6.131032,1.038428222,0.993690178,0.996323733,1.004698667,0.167368756,40.3490195,961.6067564
57.8,24.456848,1.110815281,6.1181,1.03618618,0.994205135,0.996371685,1.004993719,0.16679036,39.29090151,936.1105845
58.3,25.228878,1.10455236,6.010831573,1.033472809,0.994728236,0.996504933,1.004590876,0.169337281,37.12150081,884.1610292
58.8,26.000908,1.106354719,6.062136742,1.033625843,0.994462393,0.996671584,1.004565989,0.167683787,37.7458165,898.7634145
59.3,26.772938,1.115578652,6.388026517,1.03629809,0.994262775,0.99637909,1.004927798,0.160552573,40.94087591,974.5507239
59.8,27.544968,1.115508989,6.510384157,1.034916517,0.994435573,0.995876775,1.004838517,0.157197292,40.91674551,973.9995122
60.3,38.33446,1.101141348,6.127105393,1.031052697,0.994659079,0.996553472,1.004657618,0.165805876,35.93996751,855.5505501
60.8,55.80226,1.102351798,6.520714382,1.027954719,0.996024753,0.995860236,1.004666449,0.155045506,36.35925265,865.552233
61.3,73.27006,1.098132222,6.579580889,1.028644556,0.995257344,0.996599422,1.004366544,0.153987856,34.89764239,830.7775649
61.8,90.73786,1.096944382,6.281287303,1.027980449,0.995290303,0.996140798,1.005057596,0.161030584,34.48618882,821.0019955
62.3,108.20566,1.105564719,6.231453708,1.031596629,0.994509449,0.996292798,1.005403517,0.162981438,37.47217,892.109561
62.8,125.67346,1.104867865,6.170702584,1.031957865,0.994125888,0.996477472,1.004781303,0.164655124,37.23078817,886.3840242
63.3,143.14126,1.100522697,6.116383146,1.029608427,0.994803258,0.996205573,1.004718618,0.165897045,35.725674,850.5707823
63.8,160.60906,1.102664607,6.055749101,1.031263933,0.994882112,0.996452865,1.004074899,0.167529876,36.46760592,868.2556587
64.3,178.07686,1.096651236,5.99257764,1.028235955,0.995372652,0.996100247,1.003831202,0.168579483,34.38464654,818.6820605
