sample,XRF_true_surface,age_BP_1950,C16_alkanol_ug_gTOC,C18_alkanol_ug_gTOC,Phytol_ug_gTOC,C20_alkanol_ug_gTOC,C22_alkanol_ug_gTOC,C24_alkanol_ug_gTOC,C26_alkanol_ug_gTOC,C28_alkanol_ug_gTOC,Cholesterol_ug_gTOC,Cholestanol_ug_gTOC,Brassicasterol_ug_gTOC,Campesterol_plus_x_ug_gTOC,Campestanol_plus_x_ug_gTOC,Stigmasterol_ug_gTOC,C30_alkanol_ug_gTOC,unknown_M486_20.75min_ug_gTOC,Fungisterol_ug_gTOC,Sitosterol_plus_x_ug_gTOC,Chondrillasterol_ug_gTOC,Sitostanol_ug_gTOC,b_Amyrin_ug_gTOC,unknown_d5_unsaturated_C30_sterol_M498_ug_gTOC,a_Amyrin_plus_22_dihydrochondrillasterol_plus_Lupeol_ug_gTOC,Triterpenoid_mz_189_371_plus_x_ug_gTOC,Dinostanol_plus_x_ug_gTOC,C32_alkanol_ug_gTOC,maybe_Lanosterol_plus_x_ug_gTOC,Friedelin_plus_x_ug_gTOC,Tetrahymanol_ug_gTOC,Diplopterol_ug_gTOC,n.alk_C17_ug_gTOC,n.alk_C22_ug_gTOC,n.alk_C23_ug_gTOC,n.alk_C24_plus_x_ug_gTOC,n.alk_C25_ug_gTOC,n.alk_C26_ug_gTOC,n.alk_C27_ug_gTOC,n.alk_C28_ug_gTOC,n.alk_C29_ug_gTOC,n.alk_C30_ug_gTOC,n.alk_C31_plus_x_ug_gTOC,n.alk_C32_plus_x_ug_gTOC,n.alk_C33_plus_x_ug_gTOC,n.alk_C34_ug_gTOC,n.alk_C35_ug_gTOC,C13.0.FAME_ug_gTOC,C14.0.FAME_ug_gTOC,C15.0.FAME_ug_gTOC,C16.0.FAME_ug_gTOC,C17.0.FAME_ug_gTOC,C18.0.FAME_ug_gTOC,C20.0.FAME_ug_gTOC,C21.0.FAME_ug_gTOC,C22.0.FAME_ug_gTOC,C23.0_FAME_ug_gTOC,C24.0.FAME_ug_gTOC,C25.0.FAME_ug_gTOC,C26.0.FAME_ug_gTOC,C27.0.FAME_ug_gTOC,C28.0.FAME_ug_gTOC,C29.0.FAME_ug_gTOC,C30.0.FAME_ug_gTOC,C31.0.FAME_ug_gTOC,C32.0.FAME_ug_gTOC,C33.0.FAME_ug_gTOC,C34.0.FAME_ug_gTOC,C36.0.FAME_ug_gTOC
2_B_8-10_EDGE,394.8,5102.59771,40.6770081,23.52192207,248.7487474,73.92604081,394.1248372,595.0338859,125.8334403,144.9339484,75.69460638,36.25559418,47.13227243,46.51327448,22.72606757,43.32985645,41.38443433,0,20.69221716,248.4834625,73.21861458,65.87906746,57.65523757,51.02311668,122.2963091,100.8082375,0,9.550254075,7.51640367,116.0179014,11.40724792,46.33641792,0,5.300387116,35.65116858,40.2319531,38.39388247,7.113785656,82.60626592,8.585886965,88.53167929,3.232043657,44.66059307,2.882522396,21.58396584,9.469970154,2.968874707,4.729381411,38.99439381,25.12828917,222.3146638,21.84961944,90.57900208,195.5639085,38.83797458,374.6700604,68.32146583,490.1442563,146.9389974,784.0314523,102.988261,971.1303201,44.06421708,295.2366952,17.4269424,102.292042,4.385872515,33.94297281,0
3_A_98-100_EDGE,657.3,8532.09519,14.46070209,13.78586932,259.2321861,72.01429639,105.4667205,396.9944746,212.9579394,136.3162183,68.73653725,35.95894585,44.53896243,80.20869424,22.94431398,38.17625351,80.97993168,0,21.49824377,251.6162163,82.23319253,44.92458115,193.4841939,50.32324326,97.36872738,74.61722276,8.792106868,19.28093611,80.69071764,177.6738263,53.6010024,81.26914572,0,3.294819538,30.24830883,9.00466365,42.6309818,4.716608536,47.95260693,6.904751886,106.5736731,4.204865333,62.45787979,0.700810889,13.65068692,1.338599216,2.079744544,3.128986533,32.15929365,17.75162436,288.4017939,21.34398753,123.7979939,225.8363945,55.77239355,473.0788785,62.92845741,488.0120264,95.37915286,759.5937263,69.61159048,816.7658039,43.54784922,238.0083909,16.43792773,84.47785932,5.035040926,16.05576143,0
4_B_18-20_EDGE,854.3,10719.71486,0,14.44149646,214.5407897,117.873836,151.0502467,277.7711256,265.801597,175.5097182,59.71753941,33.5667215,43.58469652,49.82966796,23.02833219,29.01309649,94.97560734,0,6.11486787,475.1382439,67.133443,91.46281091,221.0459683,31.09475364,179.9332397,58.02619298,25.17504112,38.6407608,85.47804661,192.9435968,34.34734293,141.8128932,0,2.483746472,21.92767414,34.40683829,59.14156897,8.348651462,125.0998436,12.22535064,168.2632479,7.411958754,96.51862963,1.211657342,22.57127268,1.586334426,3.622885669,0.699914689,37.61634527,15.94069269,303.8606376,15.77249613,134.0526529,131.8281178,29.20109191,279.2442582,60.07872367,530.1067044,80.53359481,528.3379278,72.26483523,578.4170951,65.7648523,301.9453672,23.84050499,84.94468506,6.391469022,13.56423816,0
6_B_68-70_EDGE,256.1181818,3479.286158,8.119789742,15.97335687,277.4039643,87.78690713,378.1026682,515.2073147,124.3925166,86.98823928,50.64885241,30.94837893,20.2329187,40.13305913,15.37435599,42.52906266,27.22126233,0,12.17968461,260.6984952,44.9250662,70.68210415,49.71707326,49.31773933,113.8767233,106.3559345,0,17.23791429,8.45256801,132.1129724,10.84857154,38.53572345,0,6.237954945,41.17950478,19.96622166,40.73734074,8.790327002,88.26070801,7.65976386,83.25922377,2.49941828,29.20930346,1.321196739,13.94272952,7.254667465,3.063376006,2.171721074,34.71562944,19.31216426,218.0854667,18.96117904,73.11859796,134.1202288,28.09078333,341.7858216,57.52169207,467.4265664,69.89990392,690.4776763,81.79152262,787.2658403,48.18867588,259.4020114,11.79390122,72.40067364,2.580539091,18.89138084,0
1_A_28-30_EDGE,39.3,4.047767,799.0294457,61.4042648,565.7964399,74.30432043,211.5609123,179.5687744,274.2551827,199.43486,140.3526053,122.5505285,135.192583,175.4407566,63.72627481,107.3284628,141.1266086,0,15.48006676,246.1330614,0,162.5407009,108.3604673,94.94440944,111.1984795,30.18613017,6.192026702,26.05811237,10.83604673,9.21063972,62.51366958,84.70176527,13.1141066,5.512104569,30.68230718,9.652713925,45.84712568,8.725321924,83.58283681,7.197084401,102.4180377,5.146372512,85.0588269,3.226279214,27.71726515,2.651557411,5.133310653,0,18.71544269,28.20925655,389.32258,54.45878087,225.3256555,216.5612976,34.19732721,413.2313131,91.25819698,613.0369002,88.7758695,662.4657017,65.40061909,453.7651078,35.34050434,181.5474152,13.69635073,62.35214675,2.166592842,3.418643981,0.925429103
7_B_78-80_EDGE,536.5761194,7336.444838,54.19227024,29.08849799,342.2879422,92.84411004,168.9523719,403.851955,220.7538067,118.9440637,95.23494549,42.83580184,48.81289047,126.3158064,39.84725753,51.6021985,52.99685251,0,24.50606338,361.6138621,86.86702141,81.08916907,195.8492707,246.6545241,135.8791482,244.4629249,0,47.01976388,19.3259199,522.1983099,47.01976388,83.48000452,0,4.831939618,39.12312401,16.39277799,53.73169917,7.896258223,53.44980839,7.415385715,97.8525809,3.35284211,70.42958248,3.886776412,21.32089211,4.059227243,5.28628123,4.413042203,34.55894854,21.60781317,241.5568859,25.58886851,126.8347293,210.3098366,27.51163354,362.7927267,52.9734471,516.9273312,82.28926104,975.7397247,91.94543784,1197.941905,45.96848375,263.5373936,9.817113077,37.5997972,0,0,0.49127917
8_A_78-80_EDGE,664.9789474,8568.997954,0,16.46848528,193.1304183,125.0107746,102.7408911,430.0520361,292.3156137,190.510432,58.20112412,42.10692259,25.63843731,79.90958199,29.75555863,30.69126802,100.3080467,0,21.70845787,247.7758467,89.07953402,57.07827285,197.6218234,26.5741467,87.76954087,65.12537361,10.38637424,18.52704594,17.40419467,118.6479508,50.34116523,79.34815635,0,1.805769906,31.321424,13.27324151,45.84371584,5.557679184,48.5059774,7.189771616,113.4827652,4.627434081,65.87372485,3.406933472,16.32330346,2.49096323,3.038166232,2.946727749,41.14716448,17.26654032,298.7539572,21.70446928,140.030215,150.30452,30.44476345,259.9969956,48.78867881,432.9406612,74.66708449,734.3060042,84.62031744,1114.020058,63.21551539,337.9461497,17.53053288,89.17240534,1.498336144,0,2.097670601
9_A_88-90_EDGE,1001.149462,12453.60637,0,6.518547359,246.542578,30.82413868,142.4984772,180.1443514,216.7795982,152.5542208,36.78684091,42.80007452,37.64587428,105.004197,24.20452857,25.41728156,71.70402095,0,1.111690247,183.5804849,0,105.2063225,21.17264607,16.06897721,60.63764985,11.62221622,11.85466055,8.741927854,30.1672308,3.688790366,6.973329733,19.1008597,6.110560611,2.637350892,23.40300061,7.028051729,67.03301736,8.804426165,88.78488281,4.653389358,35.23898487,2.45803894,42.70938593,0.946795016,14.27727812,0.280480174,1.111803875,0.540704674,28.19590865,13.49213861,287.4369061,16.2183093,105.0693925,85.54740596,15.23598196,247.6427406,30.04732674,215.2853876,28.27234334,238.1874861,26.66155297,200.2419078,11.64355143,74.15014409,3.445222974,17.30821139,1.203138672,3.929309357,0.393497119
1_A_98-100_EDGE,109.3,799.23093,0,10.21490408,355.4440351,88.99085925,221.4383443,273.7248025,197.3727229,177.2891826,73.06253425,54.88346767,56.96107528,69.25358697,20.60294212,39.12827664,100.763969,0,6.405956794,212.435378,0,104.2266484,50.72825245,10.90743995,59.73121876,22.68054973,15.4089231,14.71638723,33.93425761,17.31339674,22.50741576,66.13717555,1.439533672,2.408169041,17.23536586,7.990631824,29.94474027,4.88953471,69.72466737,6.126557713,79.82580195,3.413402724,48.58792126,1.393175808,19.57277816,1.664003329,3.384124073,2.609141165,70.38773655,33.06224917,335.0186484,25.87972661,146.7272687,143.3009248,30.15281063,277.3123225,62.87045625,437.1689865,75.40417966,437.1591407,67.05985084,375.647407,43.96649008,197.950125,16.49174132,63.50551137,5.267511408,15.7877655,0.507059509
1_C_28-30_EDGE,239.8,3411.46018,14.04256467,21.21648358,327.8633577,147.1416559,414.4082943,639.5472387,175.3794218,296.1149506,51.28588836,35.41168482,28.23776591,40.14341857,12.51619894,27.77985619,113.1037002,0,12.05828923,255.8188955,41.51714772,82.72902229,56.78080497,40.44869171,109.4404225,116.3090682,2.396394188,9.463467494,7.204446222,37.39596026,16.02684011,27.47458305,0,3.944296885,28.62489535,19.8103959,30.84001739,6.059776754,110.4357139,5.078684641,76.28144474,2.305566465,39.71276918,2.297901683,17.88040376,11.20591148,2.619822533,0.996200028,29.51400209,23.39809053,243.6970081,27.14960329,82.27477319,150.400984,36.12170861,357.1629303,57.83004213,513.4654536,87.00987586,812.9559684,113.6802943,1095.120169,58.44793835,452.6657266,23.88988548,168.5154313,6.468995118,39.38142642,1.664536756
3_A_38-40_EDGE,597.3,7924.68915,50.23903686,28.76816356,274.3500477,69.18392506,106.2317064,411.8759027,275.4727077,255.545492,62.72862982,36.34611885,38.31077392,90.37413334,17.54156315,41.67875404,105.1090464,0,45.18706667,240.3895814,195.3428472,70.3065851,192.1151996,70.58725011,158.4353984,115.7743168,0,32.4168087,35.2234588,314.6254766,44.76606916,56.27333458,0,4.054992979,31.92696279,15.51462299,61.00199529,5.871800828,59.71648923,9.209231043,135.5796674,3.60613457,72.95933904,3.340483674,17.32837738,5.624470684,4.027511852,6.42131027,48.81546475,29.28139994,263.1836764,31.11606002,108.9033962,169.2389504,28.59480936,293.5737513,43.43529594,384.0911522,59.27752942,712.8948792,68.56901343,986.3155086,41.45994107,317.0247591,14.96429799,108.1717833,3.669320154,24.21075967,1.485736995
4_C_18-20_EDGE,954.8,11849.7688,0,7.27687349,194.3255989,66.81492932,259.8174603,452.3238408,388.8165813,262.2982126,56.06500257,60.19958978,27.1228921,64.66494397,22.98830489,41.84202257,162.0758186,0,9.757625817,292.3980075,0,81.69944328,181.7564538,12.07299465,158.4373819,17.03449931,14.91759066,14.71913047,70.12259909,64.00341002,24.14598931,23.48445536,9.791196743,5.406261789,36.97376001,17.51525102,92.83702464,21.46803076,167.6747844,21.52421094,182.5927826,11.73445471,115.2500348,2.293303695,28.21253321,1.253250135,4.004638362,0.475395386,23.23494948,21.3135598,315.0881001,18.32913321,122.6388041,129.3009422,35.80651635,221.1314842,55.50241129,453.7913066,96.26756562,724.8591145,89.61203022,672.7306899,77.46963974,337.9731057,36.75070441,128.9047794,11.42269469,20.69290471,2.489223062
1_B_68-70_EDGE,179.8,2052.7476,27.76978717,24.45597009,241.0470548,91.92528594,668.396906,1165.602021,161.3166157,162.0456555,48.71311115,36.78336964,24.72107545,44.60397796,16.56908543,28.83020864,42.08547698,0,15.97259835,152.7669676,53.15362604,66.01123633,52.75596799,13.78547907,72.83769953,33.73465793,7.204238343,7.820608321,10.93559638,11.20070175,12.52622858,45.00163601,0.167593941,5.785634295,50.68623697,20.9200958,57.01837325,8.623801245,126.3913346,7.487077126,70.97603382,3.705283425,40.16425219,3.238935068,28.70228399,23.86027645,3.923884217,0,0.648561498,5.618845874,119.4807873,20.54788297,78.00315809,130.4942102,25.17267197,303.6237622,47.86020175,382.1845619,54.5276564,608.3870529,72.85103405,770.6789605,33.16755623,230.9242612,8.122172029,52.27890579,0.963750263,3.327666003,2.606368636
