age_BP_1950,.fitted,.se,.lower_ci,.upper_ci
5906.246461,0.537218658,0.029131276,0.480122406,0.594314911
5970.632722,0.537027154,0.029008863,0.480170827,0.59388348
6035.018983,0.536821401,0.028821588,0.480332127,0.593310675
6099.405244,0.536601057,0.028572702,0.48059959,0.592602524
6163.791505,0.536367376,0.028275082,0.480949233,0.591785518
6228.177766,0.536122519,0.027944339,0.481352621,0.590892417
6292.564027,0.535868665,0.027589958,0.481793341,0.58994399
6356.950288,0.535607994,0.027214186,0.48226917,0.588946819
6421.336549,0.535341894,0.026815866,0.482783761,0.587900026
6485.72281,0.535068514,0.02640188,0.483321779,0.586815248
6550.109071,0.534785178,0.025978794,0.483867677,0.585702679
6614.495332,0.53448921,0.025549203,0.484413692,0.584564727
6678.881592,0.534177333,0.025113955,0.484954885,0.583399781
6743.267853,0.533841782,0.024682807,0.48546437,0.582219194
6807.654114,0.533472751,0.024266154,0.485911963,0.581033539
6872.040375,0.533060425,0.023868167,0.486279677,0.579841173
6936.426636,0.532594969,0.023487515,0.486560286,0.578629652
7000.812897,0.532064934,0.023125732,0.486739332,0.577390537
7065.199158,0.531455289,0.022794368,0.486779149,0.57613143
7129.585419,0.530750063,0.022504639,0.48664178,0.574858345
7193.97168,0.529933133,0.022262206,0.486300012,0.573566255
7258.357941,0.528990045,0.022069534,0.485734553,0.572245537
7322.744202,0.52790797,0.021924628,0.484936488,0.570879451
7387.130463,0.52667452,0.021815216,0.483917482,0.569431559
7451.516723,0.525279743,0.021727725,0.482694185,0.567865302
7515.902984,0.52371508,0.021648954,0.481283909,0.566146251
7580.289245,0.521976285,0.02157899,0.479682242,0.564270329
7644.675506,0.520062959,0.021528557,0.477867763,0.562258155
7709.061767,0.517974865,0.021501795,0.475832121,0.560117608
7773.448028,0.515711778,0.021492738,0.473586786,0.557836771
7837.834289,0.513274504,0.021489996,0.471154886,0.555394121
7902.22055,0.510666594,0.02148586,0.468555082,0.552778105
7966.606811,0.507893113,0.021472367,0.465808046,0.549978179
8030.993072,0.504960066,0.021442283,0.462933963,0.546986168
8095.379333,0.501874239,0.021392027,0.459946637,0.54380184
8159.765594,0.498642923,0.021325209,0.45684628,0.540439565
8224.151854,0.495273527,0.021253024,0.453618365,0.536928689
8288.538115,0.491773197,0.021190339,0.450240896,0.533305499
8352.924376,0.48814867,0.021150847,0.446693773,0.529603568
8417.310637,0.484406651,0.021136706,0.442979468,0.525833834
8481.696898,0.480553846,0.021137717,0.439124683,0.521983009
8546.083159,0.476596654,0.021136727,0.43516943,0.518023878
8610.46942,0.47253896,0.021126075,0.431132613,0.513945306
8674.855681,0.468381039,0.021115256,0.426995899,0.50976618
8739.241942,0.464121668,0.021119803,0.422727616,0.50551572
8803.628203,0.459757769,0.021161136,0.418282706,0.501232833
8868.014464,0.455284776,0.021261079,0.413613828,0.496955725
8932.400725,0.450697948,0.021429968,0.408695983,0.492699912
8996.786985,0.445992624,0.02166572,0.403528593,0.488456655
9061.173246,0.441165387,0.021963048,0.398118604,0.48421217
9125.559507,0.436215513,0.022319982,0.392469152,0.479961874
9189.945768,0.431145331,0.022735084,0.386585384,0.475705277
9254.332029,0.425963476,0.023207252,0.380478098,0.471448854
9318.71829,0.420683103,0.02372894,0.374175235,0.46719097
9383.104551,0.415322777,0.024285126,0.367724804,0.46292075
9447.490812,0.409910914,0.024860693,0.361184851,0.458636977
9511.877073,0.404484632,0.025444474,0.354614379,0.454354886
9576.263334,0.399084187,0.026024884,0.348076352,0.450092022
9640.649595,0.393749868,0.0265854,0.341643442,0.445856294
9705.035856,0.388521964,0.027104878,0.335397379,0.441646549
9769.422116,0.383440986,0.027561633,0.329421177,0.437460794
9833.808377,0.378549262,0.027952598,0.323763177,0.433335347
9898.194638,0.373890022,0.028285319,0.318451815,0.429328229
9962.580899,0.369506499,0.028566417,0.313517349,0.425495648
10026.96716,0.365441927,0.028799258,0.308996419,0.421887435
10091.35342,0.36173954,0.028982763,0.304934368,0.418544712
10155.73968,0.358442573,0.029111206,0.301385659,0.415499487
10220.12594,0.355594259,0.029174902,0.298412502,0.412776016
10284.5122,0.353237833,0.029161782,0.296081791,0.410393876
10348.89846,0.351416529,0.029059837,0.294460295,0.408372764
10413.28473,0.350171779,0.028863301,0.293600748,0.40674281
10477.67099,0.349531383,0.028592787,0.293490551,0.405572215
10542.05725,0.349516903,0.028279612,0.294089883,0.404943923
10606.44351,0.350149871,0.027952216,0.295364534,0.404935207
10670.82977,0.351451816,0.027633661,0.297290836,0.405612797
10735.21603,0.353444224,0.027340436,0.299857954,0.407030493
10799.60229,0.356142291,0.027085593,0.303055503,0.409229079
10863.98855,0.359548696,0.02687932,0.306866198,0.412231195
10928.37481,0.363663639,0.02672139,0.311290677,0.416036601
10992.76107,0.368476699,0.026606323,0.316329263,0.420624134
11057.14733,0.373962692,0.026527729,0.321969299,0.425956085
11121.5336,0.380084898,0.026479794,0.328185455,0.431984341
11185.91986,0.386801305,0.026455937,0.334948622,0.438653988
11250.30612,0.394064213,0.026452513,0.342218241,0.445910185
11314.69238,0.401822775,0.026468756,0.349944967,0.453700583
11379.07864,0.410022883,0.026509385,0.358065443,0.461980322
11443.4649,0.418610013,0.026575918,0.366522171,0.470697855
11507.85116,0.427529643,0.026663628,0.375269893,0.479789393
11572.23742,0.43672725,0.02676144,0.384275791,0.48917871
11636.62368,0.446148313,0.026853789,0.393515854,0.498780771
11701.00994,0.455738307,0.026924308,0.402967633,0.50850898
11765.3962,0.46544274,0.026961364,0.412599437,0.518286043
11829.78247,0.475210111,0.026972755,0.422344483,0.528075738
11894.16873,0.48499509,0.026995357,0.432085163,0.537905017
11958.55499,0.494760175,0.027085842,0.4416729,0.547847449
12022.94125,0.50447225,0.027302352,0.450960624,0.557983877
12087.32751,0.514098265,0.027689372,0.459828092,0.568368437
12151.71377,0.523605165,0.028275178,0.468186835,0.579023495
12216.10003,0.532962752,0.029076268,0.475974314,0.589951189
12280.48629,0.54215337,0.030108838,0.483141131,0.601165608
12344.87255,0.551169487,0.031394654,0.489637096,0.612701877
12409.25881,0.560018944,0.032966186,0.495406406,0.624631482
12473.64508,0.568719123,0.034857738,0.500399213,0.637039034
12538.03134,0.577290889,0.037094065,0.504587856,0.649993921
12602.4176,0.585759589,0.039683486,0.507981386,0.663537792
12666.80386,0.594150991,0.042611667,0.510633659,0.677668323
12731.19012,0.60249086,0.045843473,0.512639303,0.692342417
12795.57638,0.610804963,0.0493278,0.514124252,0.707485674
