sample,XRF_true_surface,age_BP_1950,C16.0.Avg.d2H.VSMOW,C16.0.SD.d2H.VSMOW,phytol.Avg.d2H.VSMOW,phytol.SD.d2H.VSMOW,C25_n.alk_d2H_10.V,C25_StdDev.of.d2H.VSMOW2_10.V,epsilon_C16.0.phytol,epsilon_C16.0.C25Alk,epsilon_phytol.C25Alk,comment
3_A_98-100_EDGE,657.3,8532.09519,-193.420207,#DIV/0!,#NV,#NV,-177.99,0.99,#NV,-18.771313,#NV,
3_B_18-20_EDGE,677.8,8657.04177,-203.9648523,0.445463909,#NV,#NV,#NV,#NV,#NV,#NV,#NV,
3_B_28-30_EDGE,687.8,8729.743282,-205.914319,0.380089935,-356.6575035,4.493944687,-182.56,1.01,234.3124934,-28.5700712,-212.9789385,
3_B_38-40_EDGE,697.8,8956.93219,-210.0066216,0.636750942,-364.4195986,1.793334905,-185.5,0.7,242.9479836,-30.08793321,-219.6680155,
3_B_48-50_EDGE,707.8,9023.302667,-214.3655944,0.604193146,-346.5130097,1.646,-181.47,2.1,202.2188924,-40.188624,-201.6334279,
3_B_58-60_EDGE,717.8,9114.46956,-201.1970368,1.456165714,-356.5980221,1.538394666,#NV,#NV,241.5301642,#NV,#NV,
3_B_8-10_EDGE,667.8,8573.081766,-198.9435431,3.450654372,#NV,#NV,#NV,#NV,#NV,#NV,#NV,
4_A_58-60_EDGE,794.3,9720.127918,-199.4047261,2.074241527,-355.8227771,1.646,#NV,#NV,242.8183509,#NV,#NV,
4_B_18-20_EDGE,854.3,10719.71486,-211.3253426,0.330271146,-357.298041,8.153532951,-185.06,1.28,227.1234689,-32.22978698,-211.3505792,
4_B_28-30_EDGE,864.3,10881.99338,-195.2437907,0.915935207,-335.8224042,1.472879386,-190.64,2.45,211.6581685,-5.688186592,-179.3792678,
4_B_38-40_EDGE,874.3,10943.70193,-196.630369,0.160206865,-363.6138598,1.646,-186.75,0.12,262.3933493,-12.14923947,-217.4778479,
4_B_48-50_EDGE,884.3,11010.92086,#NV,#NV,#NV,#NV,-182.55,3.2,#NV,#NV,#NV,
4_B_58-60_EDGE,894.3,11124.28358,#NV,#NV,-358.8794021,0.476738078,-184.56,0.08,#NV,#NV,-213.7734255,
4_B_68-70_EDGE,904.3,11236.14507,-196.2768131,1.569766425,-321.2712038,1.646,#NV,#NV,184.1595516,#NV,#NV,
4_B_8-10_EDGE,844.3,10362.2459,#NV,#NV,-370.1991636,0.777788731,#NV,#NV,#NV,#NV,#NV,
4_C_18-20_EDGE,954.8,11849.7688,-207.5657293,1.606920649,-353.9108749,1.892231627,-192.47,1.93,226.5092228,-18.69370711,-199.9193527,
4_C_48-50_EDGE,968.3,12153.5278,-262.7566404,1.765553779,-372.3463324,2.467566967,-218.35,0.4,174.6021694,-56.81141227,-197.0144341,
4_C_58-60_EDGE,978.3,12257.7559,-267.0836035,0.271317072,-386.508006,0.338326548,-215.2,0.73,194.6633431,-66.11060589,-218.2823726,
4_C_78-80_EDGE,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,
4_C_8-0_EDGE,#NV,#NV,#NV,#NV,#NV,#NV,-187.93,2.12,#NV,#NV,#NV,
4_C_8-10_EDGE,944.8,11748.00497,#NV,#NV,-351.0235093,2.768011738,#NV,#NV,#NV,#NV,#NV,
6_B_68-70_EDGE,256.1181818,3479.286158,-172.6204947,0.214583119,-352.8617712,1.646282893,-169.52,4.66,278.5205207,-3.733376722,-220.7660283,
6_B_78-80_EDGE,266.1181818,3532.042874,#NV,#NV,-349.3229598,1.621799625,-167.34,1.49,#NV,#NV,-218.5561451,
6_B_88-90_EDGE,278.8454545,3639.150413,-176.8843161,0.529340231,-355.1961404,1.415783086,-166.48,0.12,276.5365339,-12.48238327,-226.4086529,
6_B_98-100_EDGE,291.5727273,3775.041999,-172.5968738,2.893574039,-345.3530999,1.403452308,-173.34,3.05,263.8922234,0.898950233,-208.0820409,
6_C_18-20_EDGE,307.233775,4077.487317,-177.5146954,0.163508792,-353.539126,1.669595976,-163.71,1.81,272.2893799,-16.5070674,-226.9895921,
6_C_28-30_EDGE,313.8562914,4087.188606,#NV,#NV,-358.9950102,0.312571562,#NV,#NV,#NV,#NV,#NV,
7_B_58-60_EDGE,511.2029851,7131.72474,-178.3090267,1.25006533,#NV,#NV,#NV,#NV,#NV,#NV,#NV,
7_B_68-70_EDGE,523.8895522,7175.011746,-193.6763331,1.211376854,-366.042598,2.822424001,-181.37,1.38,271.8893483,-15.03283913,-225.5873814,
7_B_78-80_EDGE,536.5761194,7336.444838,-186.8335879,0.685642347,-355.3543067,0.930734281,-175.57,1.11,261.4160314,-13.66227321,-218.071039,
7_B_88-90_EDGE,549.2626866,7473.12724,-187.1414543,0.97083712,-371.4737033,1.826226372,-178.24,1.06,293.2769081,-10.83218251,-235.1461537,
7_B_98-100_EDGE,558.6114286,7488.574714,-186.2115925,0.182819189,-359.0410021,2.374209665,-178.33,1.49,269.6419117,-9.592162912,-219.9313619,
7_C_18-20_EDGE,576.0657143,7754.296403,-185.5130679,0.303924856,-360.9350629,1.343980548,-178.49,1.69,274.4979186,-8.548974328,-222.0850177,
7_C_28-30_EDGE,584.58,7810.472221,-181.9271644,0.378534779,-360.5612278,1.048725055,#NV,#NV,279.3607006,#NV,#NV,
8_A_68-70_EDGE,653.3188679,8488.309903,-192.8522704,0.336777625,-356.5390144,4.629772652,-179.69,0.59,254.3848775,-16.04548329,-215.588027,
8_A_78-80_EDGE,664.9789474,8568.997954,-203.9803155,1.853661463,-361.6368106,1.60936933,-181.01,0.5,246.9699032,-28.04712573,-220.5482492,
8_A_88-90_EDGE,679.8210526,8677.971387,#NV,#NV,-353.5439518,0.817721514,-182.79,0.54,#NV,#NV,-208.9474576,
8_A_98-100_EDGE,694.6631579,8871.228331,-207.1652691,1.595589971,#NV,#NV,#NV,#NV,#NV,#NV,#NV,
8_B_18-20_EDGE,723.6052632,9165.784265,-207.6332051,0.59023689,#NV,#NV,#NV,#NV,#NV,#NV,#NV,
8_B_28-30_EDGE,738.55,9281.709377,-198.7751883,2.180157616,-360.5430404,2.588203318,-186.35,1.36,252.9769199,-15.27092521,-214.0884169,
8_B_38-40_EDGE,747.9857143,9336.179104,-198.0797886,0.200470907,-349.3272218,2.506053247,-179.51,1.42,232.4477654,-22.63255932,-206.9704954,
8_B_48-50_EDGE,756.7117647,9401.071203,-199.4842643,0.889998216,-340.8609057,1.646,#NV,#NV,214.4868096,#NV,#NV,
9_A_78-80_EDGE,986.8263158,12323.55939,#NV,#NV,-391.5680632,2.292758925,-214.48,2.7,#NV,#NV,-225.440553,
9_A_88-90_EDGE,1001.149462,12453.60637,-210.945043,0.308940881,-379.7252607,2.396194455,-212.62,1.38,272.1055801,2.127253677,-212.2294962,
9_A_98-100_EDGE,1009.966667,12795.57638,-229.3797387,0.536078067,-387.742312,0.466553933,-195.28,0.85,258.6534662,-42.37466286,-239.1668058,
