age_BP_1950,C16_alkanol_%,C18_alkanol_%,Phytol_%,C20_alkanol_%,C22_alkanol_%,C24_alkanol_%,C26_alkanol_%,C28_alkanol_%,Cholesterol_%,Cholestanol_%,Brassicasterol_%,Campasterol_plusX_co_eluting_%,Campastanol_plusX_%,Stigmasterol_%,C30_alkanol_%,unknown_M486_20.75min_%,Fungisterol_%,Sitosterol_plus_x_%,Chondrillasterol_%,Sitostanol_%,b_Amyrin_%,unknown_d5_unsaturated_C30_sterol_M498_%,a_Amyrin_plus_22_dihydrochondrillasterol_plus_Lupeol_%,Triterpenoid_mz_189_371_plus_x_%,Dinostanol_plus_x_%,C32_alkanol_%,maybe_Lanosterol_plus_x_%,Friedelin_plus_x_%,Tetrahymanol_%,Diplopterol_%,n.alk_C17_%,n.alk_C22_%,n.alk_C23_%,n.alk_C24_plus_x_%,n.alk_C25_%,n.alk_C26_%,n.alk_C27_%,n.alk_C28_%,n.alk_C29_%,n.alk_C30_%,n.alk_C31_plus_x_%,n.alk_C32_plus_x_%,n.alk_C33_plus_x_%,n.alk_C34_%,n.alk_C35_%,C13.0.FAME_%,C14.0.FAME_%,C15.0.FAME_%,C16.0.FAME_%,C17.0.FAME_%,C18.0.FAME_%,C20.0.FAME_%,C21.0.FAME_%,C22.0.FAME_%,C23.0_FAME_%,C24.0.FAME_%,C25.0.FAME_%,C26.0.FAME_%,C27.0.FAME_%,C28.0.FAME_%,C29.0.FAME_%,C30.0.FAME_%,C31.0.FAME_%,C32.0.FAME_%,C33.0.FAME_%,C34.0.FAME_%,C36.0.FAME_%
8956.93219,0.003423553,0.00578616,0.040084095,0.020844443,0.015780438,0.051683162,0.041082631,0.027611308,0.011153292,0.007078908,0.003762342,0.014255887,0.026701927,0.007444444,0.003147172,0.003717764,0.00400306,0.026434462,0,0.04088649,0.029385493,0.008353825,0.010252827,0.002166467,0.005570405,0.003040186,0.003343313,0.028600929,0.007711909,0.022689951,0,0.000389925,0.006042408,0.000942894,0.007217467,0.001122202,0.008492549,0.001032345,0.01846795,0.000862795,0.01047348,0.000297628,0.002482262,0.000255342,0.000444002,0.000100611,0.00482933,0.00197819,0.050200467,0.0028467,0.02136357,0.021766014,0.004298163,0.03341322,0.00569636,0.049237265,0.00812878,0.074033446,0.00826786,0.112009673,0.006214211,0.040426401,0.002737212,0.015054666,0.00059183,0.00215278,0.000133162
9023.302667,0.001519677,0.004607429,0.041844357,0.019988109,0.012941454,0.043451149,0.036994941,0.02199176,0.010821649,0.005662491,0.017306896,0.013841645,0.003426533,0.004200891,0.011421777,0.002516663,0.002671534,0.03977295,0.009127742,0.010918444,0.030887195,0.007298322,0.013657735,0.010966842,0.003358777,0.002506983,0.002245637,0.026473355,0.008566333,0.024953678,0,0.000444322,0.005980719,0.001556639,0.006154014,0.001088136,0.009429506,0.001212063,0.014745252,0.000562204,0.00904362,0.000521902,0.002292139,0.000230725,0.000366742,0.000190309,0.006103131,0.00200306,0.049441748,0.002508945,0.020288365,0.020161894,0.00466377,0.036079178,0.006847504,0.054300645,0.009285384,0.079938133,0.009151686,0.118897238,0.007892998,0.046594343,0.003827857,0.018320234,0.00090216,0.002794408,0.000236079
9114.46956,0.002516957,0.003603513,0.034205861,0.017976301,0.012694817,0.046034185,0.035663771,0.024014248,0.009778998,0.005666592,0.005020161,0.012323463,0.005377761,0.00484136,0.01398768,0,0.002461942,0.036997896,0.009050043,0.009806505,0.028951885,0.006890686,0.01302491,0.008252319,0.003321558,0.003837328,0.00309462,0.020740828,0.007729672,0.014028942,0,0.000315367,0.003782123,0.000644446,0.006086819,0.000630735,0.008597189,0.001665962,0.017412621,0.00029937,0.009141083,0.000265091,0.002102449,5.71E-05,0.000140544,0.000143474,0.004408437,0.001996452,0.039857306,0.002753074,0.019324303,0.022189719,0.005075726,0.041523497,0.007877526,0.063009383,0.011475201,0.097073593,0.011404817,0.137584652,0.009128185,0.048777048,0.003294484,0.016328948,0.000751207,0.002770669,0.000216564
9281.709377,0.001687235,0.003802768,0.028916614,0.022310439,0.017923628,0.043219176,0.03570449,0.022427248,0.009448517,0.005243408,0.004594471,0.010798305,0.007553622,0.005048727,0.01401703,0,0.001765107,0.038702577,0.007696388,0.007930005,0.033212574,0.005632769,0.015392776,0.010876177,0.003317364,0.003984471,0.002894257,0.016794479,0.007008515,0.014211711,0,0.000228713,0.003447318,0.001157811,0.006334328,0.000731249,0.008081729,0.001919134,0.016794201,0.000288068,0.009985035,0.000230296,0.00183208,7.44E-05,0.000273823,0.000195652,0.005225124,0.002108808,0.050628532,0.002716943,0.025860378,0.02184144,0.005208987,0.040604888,0.008352533,0.064618672,0.012062865,0.091033734,0.011637271,0.123296174,0.00960511,0.047780482,0.00352779,0.016470082,0.000846145,0.002578776,0.000306589
9336.179104,0.001781722,0.004315426,0.043757202,0.019924126,0.014497664,0.042280337,0.040098913,0.030072491,0.011902989,0.006395231,0.009260891,0.012864983,0.008874738,0.005277421,0.020940318,0.003082447,0.002194973,0.051419285,0,0.011496512,0.038059756,0.007296254,0.021069035,0.010873248,0.004791681,0.003414403,0.00355667,0.020425447,0.006977848,0.018325318,0,0.000281138,0.003054906,0.00150419,0.005527242,0.000904296,0.007806048,0.000774121,0.017669158,0.000683543,0.011224751,0.000351918,0.002015486,0.000168782,0.000255895,7.27E-05,0.003456029,0.001886548,0.046386885,0.002885309,0.02277465,0.023896274,0.005273879,0.040424706,0.008057462,0.059739363,0.010209554,0.073854124,0.008938644,0.091826532,0.007963663,0.040589845,0.003518121,0.016568066,0.001058211,0.00291041,0.000260259
10362.2459,0.001226372,0.004949287,0.017344403,0.008059015,0.010862151,0.022162292,0.026279398,0.030002313,0.00915399,0.005518674,0.009854774,0.019052564,0.004073307,0.01178193,0.022074694,0.004511297,0.002277548,0.202044773,0,0.032717851,0.0611434,0.00613186,0.04541956,0.022293689,0.001839558,0.015066855,0.024746433,0.093379462,0.005299679,0.023651458,0,0.000173456,0.000748065,0.001248093,0.003077574,0.000488163,0.008325326,0.001199502,0.01136674,0.000341827,0.006826937,0.000134471,0.001432849,4.07E-05,0.000140686,0,7.99E-05,0.000183425,0.009151793,0.000796231,0.007935214,0.009033679,0.00191693,0.018295249,0.004190982,0.033363887,0.005834164,0.037504844,0.005623642,0.04118446,0.005628506,0.025987286,0.002520009,0.009442216,0.000886554,0.001852314,0.000125757
10719.71486,0,0.002046037,0.03039563,0.016700085,0.02140044,0.039353953,0.037658139,0.0248658,0.008460639,0.004755653,0.006174976,0.007059749,0.003262599,0.004110507,0.013455919,0,0.00086634,0.067316458,0.009511307,0.012958234,0.031317268,0.004405431,0.025492514,0.008221013,0.00356674,0.005474531,0.012110327,0.027335791,0.00486625,0.020091714,0,0.000351891,0.003106661,0.004874679,0.008379037,0.001182817,0.017723849,0.001732059,0.023839137,0.001050109,0.01367453,0.000171665,0.003197844,0.000224748,0.000513282,9.92E-05,0.005329394,0.002258439,0.043050254,0.00223461,0.018992262,0.018677095,0.004137141,0.039562663,0.008511811,0.075104259,0.011409808,0.074853663,0.01023831,0.08194876,0.009317408,0.042778903,0.003377666,0.012034761,0.000905528,0.001921749,0
10881.99338,0,0.001205233,0.014010832,0.014395837,0.024506401,0.041580534,0.043555776,0.035420455,0.006729217,0.005507245,0.0051055,0.007298355,0.005222676,0.00254438,0.020555916,0,0.000870446,0.063073853,0,0.022419005,0.027631637,0.003230694,0.02326769,0.007281615,0.003342847,0.006628781,0.015400198,0.022715292,0.003381348,0.017408919,0,0.000706411,0.00433446,0.008700919,0.012091036,0.002525359,0.033171791,0.002837131,0.04169385,0.001946938,0.022940725,0.000808148,0.004858731,0.000212498,0.000530014,0,0.001347076,0.001314779,0.038494624,0.002407512,0.022337782,0.025282241,0.005661489,0.049419265,0.009121362,0.068365806,0.010991928,0.06041523,0.008875093,0.062390762,0.00670443,0.03356925,0.002359066,0.00897064,0,0,0.000322975
10943.70193,0.001008538,0.002521345,0.027385687,0.016126911,0.029344578,0.049195322,0.054461054,0.038431118,0.009367767,0.007757985,0.015428692,0.011016339,0.005789396,0.005440287,0.02698809,0.002414673,0.001289765,0.093551601,0,0.027773586,0.031342259,0.003413513,0.025067989,0.008688943,0.002996522,0.00750585,0.014255297,0.033715233,0.005252156,0.021737874,0,0.000681981,0.004782608,0.005850462,0.009902709,0.002309408,0.022549079,0.002623003,0.035205358,0.002129295,0.020204698,0.000918634,0.00419389,0.000294359,0.000742601,0,0.001353308,0.001404089,0.039715662,0.001838265,0.019652169,0.019733418,0.003206807,0.028942516,0.004562655,0.041630098,0.00624096,0.0430545,0.005623973,0.048305234,0.004834332,0.028287444,0.001835726,0.007817704,0.000177733,0,0.000126952
11010.92086,0,0.00216519,0.023150876,0.009726699,0.027636705,0.044314218,0.046967964,0.035287042,0.00668433,0.006651019,0.025316066,0.008805105,0.004097205,0.0034532,0.025082891,0,0.001176975,0.078257733,0,0.021674105,0.020164024,0.002420571,0.01993085,0.008283239,0.000908269,0.003042369,0.006695433,0.031034387,0.001876498,0.006628812,0.000469806,0.000256734,0.003320077,0.005573049,0.007396384,0.002137703,0.022636254,0.002238127,0.031987833,0.001736011,0.019676827,0.000639215,0.003076442,0.000236649,0.000467186,0.000747213,0.001468053,0.001239494,0.026468907,0.00190759,0.012289449,0.01611342,0.003709691,0.03450364,0.008386363,0.061587899,0.012183961,0.07723541,0.012245496,0.084769071,0.010109347,0.044744848,0.004492066,0.011832331,0.000685677,0,0
11124.28358,0.002123108,0.002499477,0.027667959,0.01158059,0.035108488,0.050915993,0.044286105,0.028652309,0.006128062,0.006736043,0.007228218,0.008888103,0.003252216,0.003570682,0.017737603,0,0.001389671,0.070188024,0.00667814,0.014359931,0.022890966,0.002528429,0.023141878,0.008897753,0.001835523,0.004419925,0.006166664,0.036073537,0.001071205,0.003947051,0.000810185,0.000711413,0.004008417,0.008645727,0.009564687,0.002398048,0.025575224,0.002336784,0.029669285,0.001458459,0.017956606,0.00045948,0.00301819,0.000200046,0.000553877,0,0.000887893,0.001289387,0.025245219,0.002385942,0.014046547,0.019175314,0.004161727,0.03803116,0.008093206,0.057911608,0.011683631,0.079808162,0.01200166,0.081719217,0.0099467,0.042846214,0.004256704,0.014833707,0.001313851,0.002800387,0.000231687
11236.14507,0,0,0.012109828,0.005054102,0.0343779,0.055344917,0.05804711,0.033026804,0.005454427,0.006305117,0.003652965,0.005904792,0.001451178,0.003753046,0.011709503,0,0.000750609,0.033076844,0.026271321,0.012410072,0.024820143,0.000750609,0.021967829,0.006305117,0.001200975,0.002201787,0.00575467,0.031575626,0.002752234,0.004003249,0.000344708,0.00086739,0.00494206,0.006513853,0.012471302,0.00357447,0.037786716,0.00319042,0.033940601,0.001523084,0.014631346,0.000457112,0.002915029,0.001453768,0.000992908,0.000128589,0.002583107,0.002631632,0.033866687,0.002132641,0.012770772,0.018201444,0.003865765,0.04444659,0.00824993,0.06762743,0.013257632,0.090765407,0.011821315,0.083881435,0.008815238,0.039222147,0.004383357,0.012653505,0.001065107,0.001992729,0
11748.00497,0,0,0.015413226,0.008660274,0.024537443,0.065003604,0.082839645,0.050260519,0.005979713,0.006443656,0.003659997,0.006701403,0.003041406,0.003917743,0.027218004,0,0.001443379,0.029176876,0.018660829,0,0.04054864,0.000773239,0.024279697,0.003196054,0,0.002525913,0.011443934,0.015619423,0.00412394,0.008557176,0.000865717,0.000984468,0.005420627,0.002504944,0.013117079,0.003187645,0.022772222,0.003504314,0.033074673,0.001462265,0.020099629,0.000450322,0.004412409,0.000220271,0.000624024,0,0,0,0.01258302,0.001554197,0.014358391,0.017191812,0.00368823,0.024903022,0.005601088,0.05682982,0.012033073,0.099970748,0.012385756,0.091942722,0.01028759,0.043774563,0.004005047,0.012164582,0,0,0
11849.7688,0,0.000990658,0.02645506,0.009096038,0.035370979,0.061578375,0.052932636,0.035708703,0.007632566,0.00819544,0.003692451,0.008803343,0.003129577,0.005696281,0.022064646,0,0.001328382,0.039806423,0,0.011122383,0.024743925,0.001643591,0.021569317,0.002319039,0.002030848,0.00200383,0.009546337,0.008713284,0.003287182,0.003197122,0.001332952,0.000735997,0.005033527,0.002384488,0.012638629,0.002922611,0.022826877,0.002930259,0.024857781,0.001597503,0.015689887,0.000312205,0.003840792,0.000170615,0.000545183,6.47E-05,0.003163155,0.002901581,0.042895402,0.002495288,0.016695778,0.017602746,0.004874621,0.030104355,0.007555976,0.061778152,0.013105655,0.098680728,0.012199585,0.091584079,0.010546547,0.046010917,0.00500316,0.017548814,0.001555061,0.002817087,0.000338877
12153.5278,0.002857317,0.003790466,0.077979434,0.008022189,0.077624982,0.099752912,0.056415733,0.045991952,0.011581176,0.008029422,0.004535539,0.011450969,0.025990733,0.005070833,0.002191815,0.002105011,0.001982038,0.015067826,0,0.013252164,0.005779737,0.005041898,0.008470679,0.001142927,0.006246312,0.001374406,0.008094526,0.001085057,0.002444995,0.003703661,0.002365964,0.000659607,0.005146725,0.001226902,0.015724025,0.001850723,0.024847912,0.001530679,0.010068565,0.000702307,0.008308935,0.000394056,0.002723014,0.000111426,0.000419676,0.000209281,0.004625824,0.002904671,0.05398719,0.003211375,0.020353144,0.018813608,0.006193023,0.028314228,0.007621905,0.048989712,0.009120547,0.075481755,0.010758709,0.070976208,0.006125669,0.026393416,0.001882323,0.007568983,0.000742104,0.001823388,0.000745713
12257.7559,0.001560646,0.002520512,0.097091494,0.007568441,0.06295755,0.111247793,0.055637707,0.040114117,0.013237866,0.010392795,0.008624984,0.012678519,0.005579653,0.004101874,0.016711338,0.002002598,0.001236087,0.018589637,0,0.015965543,0.005469165,0.003038425,0.005690142,0.00155374,0.003501785,0.002299535,0.007899905,0.000593874,0.001968071,0.00796896,0.000963089,0.000852578,0.006004576,0.001899691,0.017216406,0.002371874,0.025135286,0.001876401,0.013153533,0.000854861,0.010710878,0.000382678,0.003500272,0.000184033,0.00059,3.75E-05,0.003425418,0.002630901,0.064433837,0.00355434,0.024513101,0.023372294,0.005422204,0.028571135,0.006126776,0.046005538,0.00672941,0.06456126,0.008483344,0.059951562,0.004657669,0.022264468,0.00190834,0.006404108,0.000700074,0.001840881,0.000906949
12323.55939,0,0.001697333,0.045627389,0.006480725,0.11475512,0.204821765,0.071766312,0.026432099,0.009643936,0.009057584,0.003379235,0.006989925,0.002545999,0.010477172,0.011217826,0,0.000894957,0.017590539,0,0.012930589,0.005601198,0.002900896,0.00985996,0.000956678,0.002428729,0.00155846,0.007020785,0,0.000972109,0.004181611,0.000809966,0.0009325,0.004039679,0.001150587,0.00974063,0.001768953,0.014621218,0.001313966,0.011488294,0.000785459,0.010149821,0.000202244,0.002881666,0.000141348,0.00046068,0.000607909,0.008901214,0.004306316,0.063425485,0.002802356,0.019144308,0.018428785,0.005103538,0.031792685,0.006463428,0.037555962,0.004889628,0.053812262,0.005891097,0.046802859,0.004198702,0.021667307,0.001565454,0.006483193,0.0007287,0.00315287,0
12453.60637,0,0.001735975,0.065657538,0.008208874,0.037949222,0.047974815,0.057731264,0.040627199,0.009796821,0.011398224,0.010025592,0.027964001,0.006445985,0.006768957,0.019095726,0,0.000296058,0.048889902,0,0.02801783,0.005638555,0.00427938,0.016148605,0.003095149,0.003157052,0.002328091,0.008033931,0.000982373,0.00185709,0.005086811,0.001627323,0.000702361,0.006232527,0.001871663,0.017851776,0.002344735,0.023644584,0.001239259,0.009384606,0.000654608,0.011374072,0.000252144,0.003802227,7.47E-05,0.000296088,0.000143997,0.007508942,0.003593134,0.076548236,0.004319149,0.027981364,0.022782402,0.004057543,0.065950525,0.008001999,0.057333336,0.007529298,0.063432466,0.007100323,0.053327059,0.003100831,0.019747161,0.000917508,0.004609405,0.000320412,0.001046427,0.000104793
12795.57638,0.001669393,0.002575183,0.06850829,0.007009342,0.13421495,0.128411572,0.04320409,0.039923234,0.008533914,0.008354862,0.007359546,0.022360381,0.006316834,0.005000278,0.010224371,0.003849609,0.001664126,0.018326455,0,0.014210902,0.002772666,0.003159734,0.004844925,0.001716789,0.003099435,0.001237562,0.004418361,0.002375066,0.002812163,0.010116414,0.003516193,0.000954688,0.004120153,0.001494526,0.018344968,0.002052731,0.024276267,0.001113155,0.009748581,0.000517066,0.013141463,0.000820987,0.004180077,0,0.000275272,0.000339282,0.005442096,0.002429334,0.044047878,0.00337243,0.016894671,0.017727585,0.007687471,0.042627167,0.008600473,0.042811612,0.007502055,0.061747797,0.007670482,0.049718104,0.003265161,0.016540828,0.001264904,0.004958657,0.000525668,0.001179962,0.000819809
